603023,威帝股份,2023-06-05,定期报告信息披露监管问询函,关于哈尔滨威帝电子股份有限公司2022年年度报告的信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8148807120763735.pdf
688258,卓易信息,2023-06-02,问询函,关于江苏卓易信息科技股份有限公司股权收购暨开展新业务相关事项的问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8148746036523286.pdf
603559,ST通脉,2023-06-02,定期报告信息披露监管问询函,关于中通国脉通信股份有限公司2022年年度报告的信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8148746036478563.pdf
600375,汉马科技,2023-05-30,重大资产重组预案审核意见函,关于对汉马科技集团股份有限公司发行股份购买资产并募集配套资金暨关联交易预案的信息披露问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8148746042770603.pdf
688662,富信科技,2023-05-29,问询函,关于广东富信科技股份有限公司的问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8148746042673193.pdf
600070,ST富润,2023-05-26,定期报告信息披露监管问询函,关于浙江富润数字科技股份有限公司2022年年度报告的信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8148708115374333.pdf
688223,晶科能源,2023-05-25,问询函,关于晶科能源股份有限公司对外投资及出售子公司事项的问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8148708188581418.pdf
603790,雅运股份,2023-05-25,重大资产重组预案审核意见函,关于上海雅运纺织化工股份有限公司的重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8148708188555450.pdf
600396,*ST金山,2023-05-24,定期报告信息披露监管问询函,关于沈阳金山能源股份有限公司的定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8148708188446669.pdf
603196,日播时尚,2023-05-23,重大资产重组预案审核意见函,关于对日播时尚集团股份有限公司重大资产置换及发行股份购买资产并募集配套资金暨关联交易预案信息披露的问,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8148708115127810.pdf
