牛前腿,1189,肉禽蛋,1206,牛肉类,32.0,32.0,32.0,,,斤,2023-11-03 00:00:00
牛后腿,1189,肉禽蛋,1206,牛肉类,32.0,32.0,32.0,,,斤,2023-11-03 00:00:00
牛腰窝,1189,肉禽蛋,1206,牛肉类,34.0,34.0,34.0,,,斤,2023-11-03 00:00:00
肥牛,1189,肉禽蛋,1206,牛肉类,28.0,35.0,31.5,,,斤,2023-11-03 00:00:00
牛柳,1189,肉禽蛋,1206,牛肉类,35.0,35.0,35.0,,里脊,斤,2023-11-03 00:00:00
精牛柳,1189,肉禽蛋,1206,牛肉类,37.0,38.0,37.5,,,斤,2023-11-03 00:00:00
牛腩,1189,肉禽蛋,1206,牛肉类,32.0,32.0,32.0,,,斤,2023-11-03 00:00:00
牛林,1189,肉禽蛋,1206,牛肉类,32.0,32.0,32.0,,,斤,2023-11-03 00:00:00
牛金钱腱,1189,肉禽蛋,1206,牛肉类,50.0,50.0,50.0,,,斤,2023-11-03 00:00:00
牛筋头巴脑,1189,肉禽蛋,1206,牛肉类,30.0,30.0,30.0,,,斤,2023-11-03 00:00:00
牛宝,1189,肉禽蛋,1206,牛肉类,18.0,18.0,18.0,,,斤,2023-11-03 00:00:00
牛鞭,1189,肉禽蛋,1206,牛肉类,65.0,70.0,67.5,,,斤,2023-11-03 00:00:00
牛油,1189,肉禽蛋,1206,牛肉类,5.0,5.0,5.0,,,斤,2023-11-03 00:00:00
牛心,1189,肉禽蛋,1206,牛肉类,7.0,8.0,7.5,,,斤,2023-11-03 00:00:00
牛舌,1189,肉禽蛋,1206,牛肉类,30.0,32.0,31.0,,,斤,2023-11-03 00:00:00
牛骨,1189,肉禽蛋,1206,牛肉类,4.0,4.0,4.0,,,斤,2023-11-03 00:00:00
牛排骨,1189,肉禽蛋,1206,牛肉类,30.0,30.0,30.0,,,斤,2023-11-03 00:00:00
牛蹄筋,1189,肉禽蛋,1206,牛肉类,24.0,25.0,24.5,,,斤,2023-11-03 00:00:00
牛板筋,1189,肉禽蛋,1206,牛肉类,34.0,35.0,34.5,,,斤,2023-11-03 00:00:00
牛心管,1189,肉禽蛋,1206,牛肉类,40.0,40.0,40.0,,,斤,2023-11-03 00:00:00
草鱼,1190,水产,1209,淡水鱼,7.0,7.0,7.0,,1500g左右,斤,2023-11-03 00:00:00
草鱼,1190,水产,1209,淡水鱼,8.0,8.5,8.25,,5000g左右,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,8.0,9.0,8.5,,100g-150g,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,9.0,10.0,9.5,,200g-250g,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,10.0,11.0,10.5,,350g-400g,斤,2023-11-03 00:00:00
胖头鱼,1190,水产,1209,淡水鱼,8.5,9.5,9.0,,>2000g,斤,2023-11-03 00:00:00
胖头鱼,1190,水产,1209,淡水鱼,9.5,10.5,10.0,,<2000g,斤,2023-11-03 00:00:00
武昌鱼,1190,水产,1209,淡水鱼,11.0,12.0,11.5,,700g左右,斤,2023-11-03 00:00:00
鲢鱼,1190,水产,1209,淡水鱼,4.0,5.0,4.5,,>1500g,斤,2023-11-03 00:00:00
鲢鱼,1190,水产,1209,淡水鱼,3.0,4.0,3.5,,1000-1500g,斤,2023-11-03 00:00:00
鲶鱼,1190,水产,1209,淡水鱼,6.0,6.5,6.25,,养殖,斤,2023-11-03 00:00:00
松花鱼,1190,水产,1209,淡水鱼,10.0,11.0,10.5,,养殖,斤,2023-11-03 00:00:00
黑鱼,1190,水产,1209,淡水鱼,15.0,15.0,15.0,,<1500g,斤,2023-11-03 00:00:00
黑鱼,1190,水产,1209,淡水鱼,15.0,15.0,15.0,,>1500g,斤,2023-11-03 00:00:00
黄鳝,1190,水产,1209,淡水鱼,20.0,25.0,22.5,,50g-100g,斤,2023-11-03 00:00:00
黄鳝,1190,水产,1209,淡水鱼,33.0,35.0,34.0,,100g-200g,斤,2023-11-03 00:00:00
罗非鱼,1190,水产,1209,淡水鱼,9.5,11.0,10.25,,活,斤,2023-11-03 00:00:00
虹鳟鱼,1190,水产,1209,淡水鱼,23.0,25.0,24.0,,活,斤,2023-11-03 00:00:00
鲟鱼,1190,水产,1209,淡水鱼,21.0,22.0,21.5,,活,斤,2023-11-03 00:00:00
青鱼,1190,水产,1209,淡水鱼,12.0,13.0,12.5,,活,斤,2023-11-03 00:00:00
前臀尖,1189,肉禽蛋,1205,猪肉类,9.5,9.5,9.5,,瘦,斤,2023-11-03 00:00:00
前臀尖,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,肥,斤,2023-11-03 00:00:00
后臀尖,1189,肉禽蛋,1205,猪肉类,9.5,9.5,9.5,,瘦,斤,2023-11-03 00:00:00
后臀尖,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,肥,斤,2023-11-03 00:00:00
五花肉,1189,肉禽蛋,1205,猪肉类,11.5,12.0,11.75,,瘦,斤,2023-11-03 00:00:00
五花肉,1189,肉禽蛋,1205,猪肉类,10.0,11.0,10.5,,肥,斤,2023-11-03 00:00:00
五花头,1189,肉禽蛋,1205,猪肉类,8.5,9.5,9.0,,,斤,2023-11-03 00:00:00
纯通脊,1189,肉禽蛋,1205,猪肉类,10.5,11.5,11.0,,,斤,2023-11-03 00:00:00
通脊,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,,斤,2023-11-03 00:00:00
小里脊,1189,肉禽蛋,1205,猪肉类,11.5,12.5,12.0,,,斤,2023-11-03 00:00:00
梅花肉,1189,肉禽蛋,1205,猪肉类,10.5,11.0,10.75,,,斤,2023-11-03 00:00:00
纯瘦肉,1189,肉禽蛋,1205,猪肉类,10.0,11.0,10.5,,,斤,2023-11-03 00:00:00
护心肉,1189,肉禽蛋,1205,猪肉类,15.0,16.0,15.5,,鲜,斤,2023-11-03 00:00:00
前肘,1189,肉禽蛋,1205,猪肉类,8.5,9.5,9.0,,,斤,2023-11-03 00:00:00
后肘（带骨）,1189,肉禽蛋,1205,猪肉类,7.0,7.5,7.25,,,斤,2023-11-03 00:00:00
后肘（去骨）,1189,肉禽蛋,1205,猪肉类,8.5,9.0,8.75,,,斤,2023-11-03 00:00:00
猪尾巴,1189,肉禽蛋,1205,猪肉类,40.0,42.0,41.0,,,斤,2023-11-03 00:00:00
猪蹄,1189,肉禽蛋,1205,猪肉类,18.0,19.0,18.5,,,斤,2023-11-03 00:00:00
纯排骨,1189,肉禽蛋,1205,猪肉类,18.0,20.0,19.0,,,斤,2023-11-03 00:00:00
纯腔骨,1189,肉禽蛋,1205,猪肉类,6.5,8.5,7.5,,,斤,2023-11-03 00:00:00
前臀尖,1189,肉禽蛋,1205,猪肉类,9.5,9.5,9.5,,瘦,斤,2023-11-03 00:00:00
前臀尖,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,肥,斤,2023-11-03 00:00:00
后臀尖,1189,肉禽蛋,1205,猪肉类,9.5,9.5,9.5,,瘦,斤,2023-11-03 00:00:00
后臀尖,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,肥,斤,2023-11-03 00:00:00
五花肉,1189,肉禽蛋,1205,猪肉类,11.5,12.0,11.75,,瘦,斤,2023-11-03 00:00:00
五花肉,1189,肉禽蛋,1205,猪肉类,10.0,11.0,10.5,,肥,斤,2023-11-03 00:00:00
五花头,1189,肉禽蛋,1205,猪肉类,8.5,9.5,9.0,,,斤,2023-11-03 00:00:00
纯通脊,1189,肉禽蛋,1205,猪肉类,10.5,11.5,11.0,,,斤,2023-11-03 00:00:00
通脊,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,,斤,2023-11-03 00:00:00
小里脊,1189,肉禽蛋,1205,猪肉类,11.5,12.5,12.0,,,斤,2023-11-03 00:00:00
梅花肉,1189,肉禽蛋,1205,猪肉类,10.5,11.0,10.75,,,斤,2023-11-03 00:00:00
纯瘦肉,1189,肉禽蛋,1205,猪肉类,10.0,11.0,10.5,,,斤,2023-11-03 00:00:00
护心肉,1189,肉禽蛋,1205,猪肉类,15.0,16.0,15.5,,鲜,斤,2023-11-03 00:00:00
前肘,1189,肉禽蛋,1205,猪肉类,8.5,9.5,9.0,,,斤,2023-11-03 00:00:00
后肘（带骨）,1189,肉禽蛋,1205,猪肉类,7.0,7.5,7.25,,,斤,2023-11-03 00:00:00
后肘（去骨）,1189,肉禽蛋,1205,猪肉类,8.5,9.0,8.75,,,斤,2023-11-03 00:00:00
